,제목,href,날짜
20200818,[교육 신청] 제 1회 2020 정보보호 실습 전문 교육 (온라인),index.php?mt=page&mp=5_2&mm=oxbbs&oxid=2&cpage=1&key=&val=&CAT_ID=&BID=313&cmd=view,20200818
20200814,"「기술전문가 양성 교육(1차)」 ""공공·로컬 데이터 시각화 & 피지컬 과정"" 교육생 모집",index.php?mt=page&mp=5_2&mm=oxbbs&oxid=2&cpage=1&key=&val=&CAT_ID=0&BID=312&cmd=view,20200814
20200811,[캡스톤디자인 수강생 필독] 2020년 2학기 캡스톤디자인 안내,index.php?mt=page&mp=5_2&mm=oxbbs&oxid=2&cpage=1&key=&val=&CAT_ID=0&BID=311&cmd=view,20200811
20200807,강원도 내 청소년 SW 코딩 캠프 프로그램 안내,index.php?mt=page&mp=5_2&mm=oxbbs&oxid=2&cpage=1&key=&val=&CAT_ID=0&BID=310&cmd=view,20200807
20200803,[보안 세미나 신청] 차세대 사용자 인증기술 동향,index.php?mt=page&mp=5_2&mm=oxbbs&oxid=2&cpage=1&key=&val=&CAT_ID=0&BID=309&cmd=view,20200803
20200728,(추가기업) 2020. 2학기 장기현장실습 모집기업 공지,index.php?mt=page&mp=5_2&mm=oxbbs&oxid=2&cpage=1&key=&val=&CAT_ID=0&BID=308&cmd=view,20200728
20200727,2020-2학기 소융대 수강신청 관련 공지 사항,index.php?mt=page&mp=5_2&mm=oxbbs&oxid=2&cpage=1&key=&val=&CAT_ID=&BID=305&cmd=view,20200727
20200727,[캡스톤디자인 수강생 필독] 2020년 2학기 캡스톤디자인 주제를 공모하세요.,index.php?mt=page&mp=5_2&mm=oxbbs&oxid=2&cpage=1&key=&val=&CAT_ID=0&BID=307&cmd=view,20200727
20200727,2020년 2학기 장기현장실습 모집기업 공지,index.php?mt=page&mp=5_2&mm=oxbbs&oxid=2&cpage=1&key=&val=&CAT_ID=0&BID=306&cmd=view,20200727
20200721,[신청모집] 강원 VR·AR 8월 정기교육 수강생 모집,index.php?mt=page&mp=5_2&mm=oxbbs&oxid=2&cpage=1&key=&val=&CAT_ID=0&BID=297&cmd=view,20200721
20200716,[신청마감] 국민대학교 자율주행 경진대회,index.php?mt=page&mp=5_2&mm=oxbbs&oxid=2&cpage=1&key=&val=&CAT_ID=0&BID=296&cmd=view,20200716
20200710,[온라인 특강]  블록체인과 보안연구 특강,index.php?mt=page&mp=5_2&mm=oxbbs&oxid=2&cpage=1&key=&val=&CAT_ID=0&BID=294&cmd=view,20200710
20200710,[신청마감] 공개SW 전문교육 특강 신청,index.php?mt=page&mp=5_2&mm=oxbbs&oxid=2&cpage=1&key=&val=&CAT_ID=0&BID=293&cmd=view,20200710
20200703,2020년 2학기 ICT인턴십 모집공고,index.php?mt=page&mp=5_2&mm=oxbbs&oxid=2&cpage=1&key=&val=&CAT_ID=0&BID=291&cmd=view,20200703
20200625,[SW멘토링] 2020-여름방학 소프트웨어융합대학 전공 멘토링 모집,index.php?mt=page&mp=5_2&mm=oxbbs&oxid=2&cpage=1&key=&val=&CAT_ID=0&BID=290&cmd=view,20200625
20200624,[참가자 반드시 확인] 몰입형 SW코딩캠프 세부일정 및 유의사항 안내,index.php?mt=page&mp=5_2&mm=oxbbs&oxid=2&cpage=1&key=&val=&CAT_ID=0&BID=289&cmd=view,20200624
20200619,2020년 1학기 캡스톤디자인 경진대회 수상결과 발표,index.php?mt=page&mp=5_2&mm=oxbbs&oxid=2&cpage=1&key=&val=&CAT_ID=0&BID=287&cmd=view,20200619
20200302,"SW추천장학금 마일리지 지급 세부기준 안내(학술동아리, 공모전, 오픈소스 활동)",index.php?mt=page&mp=5_2&mm=oxbbs&oxid=2&cpage=1&key=&val=&CAT_ID=&BID=265&cmd=view,20200302
20190917,[업데이트] SW추천장학금 마일리지 지급 기준 안내,index.php?mt=page&mp=5_2&mm=oxbbs&oxid=2&cpage=1&key=&val=&CAT_ID=&BID=197&cmd=view,20190917
