,제목,href,날짜
20200824,[필독] 2020-2학기 사회봉사활동 축소 운영 안내(재공지),https://www.hallym.ac.kr/hallym_univ/sub05/cP3/sCP1?action=read&nttId=16313622&pageIndex=1,20200824
20200824,2020-2학기 [일반교양] 대학생을 위한 실용금융 교과목 수강 관련 안내,https://www.hallym.ac.kr/hallym_univ/sub05/cP3/sCP1?action=read&nttId=16313621&pageIndex=1,20200824
20200823,[교양과목홍보] '국제개발협력과 진로탐색' 안내,https://www.hallym.ac.kr/hallym_univ/sub05/cP3/sCP1?action=read&nttId=16313620&pageIndex=1,20200823
20200821,2020-2 한림합창단 모집,https://www.hallym.ac.kr/hallym_univ/sub05/cP3/sCP1?action=read&nttId=16313611&pageIndex=1,20200821
20200821,`20년도 예비군훈련 코로나-19 확산으로 미실시 (공지),https://www.hallym.ac.kr/hallym_univ/sub05/cP3/sCP1?action=read&nttId=16313610&pageIndex=1,20200821
20200821,2020학년도 2학기 교내장학금 추가신청 안내,https://www.hallym.ac.kr/hallym_univ/sub05/cP3/sCP1?action=read&nttId=16313609&pageIndex=1,20200821
20200821,[교외장학금] 2020-2 중소기업 취업연계 장학금(희망사다리) 학생신청 일정 안내,https://www.hallym.ac.kr/hallym_univ/sub05/cP3/sCP1?action=read&nttId=16313603&pageIndex=1,20200821
20200821,[신입생들을 위한 교양추천] 국제개발협력과 진로탐색 수강생 모집,https://www.hallym.ac.kr/hallym_univ/sub05/cP3/sCP1?action=read&nttId=16313602&pageIndex=1,20200821
20200820,[대학일자리센터]온라인 집중 취업역량강화 교육 '해커스잡 취업인강' 2차 수강생 모집(~8.26),https://www.hallym.ac.kr/hallym_univ/sub05/cP3/sCP1?action=read&nttId=16313601&pageIndex=1,20200820
20200820,"[국가장학금] 2020-2 국가장학금 2차 신청 안내 - 신입생, 복학생, 재학생중 미신청자 대상!! ",https://www.hallym.ac.kr/hallym_univ/sub05/cP3/sCP1?action=read&nttId=16313595&pageIndex=1,20200820
